SLES_123.48|Amerzone: Das Testament des Forschungsreisenden (Disc 2)||
SLES_023.49|Amerzone: El Legado del Explorador (Disc 1)||
SLES_123.49|Amerzone: El Legado del Explorador (Disc 2)||
SLES_023.50|Amerzone: Il Testamento dell'Esploratore (Disc 1)||
SLES_123.50|Amerzone: Il Testamento dell'Esploratore (Disc 2)||
SLES_024.29|Amerzone: O Testamento do Explorador (Disc 1)||
SLES_124.29|Amerzone: O Testamento do Explorador (Disc 2)||
SLES_023.47|Amerzone: The Explorer's Legacy (Disc 1)||
SLES_123.47|Amerzone: The Explorer's Legacy (Disc 2)||
PUPX_930.08|Analog Controller Service Disc||
PEPX_940.09|Analog Controller Service Disc (Revised)||
PUPX_930.10|Analog Controller Service Disc (Revised)||
SLES_029.61|Anastasia||
SLPM_801.41|Ancient Roman Extra (Taikenban)||アンシャント・ロマン（体験版）
SLPS_011.08|Ancient Roman: Power of Dark Side (Disc 1)||アンシャントロマン～Ｐｏｗｅｒ ｏｆ Ｄａｒｋ Ｓｉｄｅ～（ディスク１）
SLPS_011.09|Ancient Roman: Power of Dark Side (Disc 2)||アンシャントロマン～Ｐｏｗｅｒ ｏｆ Ｄａｒｋ Ｓｉｄｅ～（ディスク２）
SLES_004.38|Andretti Racing||
SLES_004.39|Andretti Racing||
SLES_004.40|Andretti Racing||
SLPS_007.59|Andretti Racing||アンドレッティ　レーシング
SLUS_002.64|Andretti Racing||
SLPM_869.60|Angel Blade: Neo Tokyo Guardians||エンジェル・ブレード
SLPS_008.94|Angel Blade: Neo Tokyo Guardians||エンジェル・ブレード
SLPM_800.94|Angel Blade: Neo Tokyo Guardians (Taikenban)||エンジェル・ブレード（体験版）
SLPS_001.63|Angel Graffiti: Anata e no Profile||エンジェルグラフィティ　あなたへのプロフィール
SLPS_003.06|Angel Graffiti: Anata e no Profile||エンジェルグラフィティ　あなたへのプロフィール
SLPM_864.93|Angelique Duet||アンジェリーク デュエット
SLPM_865.09|Angelique Duet||アンジェリーク デュエット
SLPS_013.36|Angelique Duet||アンジェリーク デュエット
SLPS_013.37|Angelique Duet||アンジェリーク デュエット
SLPM_861.89|Angelique Special||アンジェリークＳｐｅｃｉａｌ
SLPM_865.06|Angelique Special||アンジェリークＳｐｅｃｉａｌ
SLPM_867.87|Angelique Special||アンジェリークＳｐｅｃｉａｌ
SLPS_003.20|Angelique Special||アンジェリークＳｐｅｃｉａｌ
SLPS_005.17|Angelique Special||アンジェリークＳｐｅｃｉａｌ
SLPM_864.92|Angelique Special 2||アンジェリークＳｐｅｃｉａｌ　２
SLPM_865.08|Angelique Special 2||アンジェリークＳｐｅｃｉａｌ　２
SLPS_007.45|Angelique Special 2||アンジェリークＳｐｅｃｉａｌ　２
SLPS_008.05|Angelique Special 2||アンジェリークＳｐｅｃｉａｌ　２
SLPM_861.64|Angelique: Tenkuu no Requiem||アンジェリーク　天空の鎮魂歌
SLPM_861.65|Angelique: Tenkuu no Requiem||アンジェリーク　天空の鎮魂歌
SLPM_862.89|Angelique: Tenkuu no Requiem||アンジェリーク　天空の鎮魂歌
SLPM_865.10|Angelique: Tenkuu no Requiem||アンジェリーク　天空の鎮魂歌
SLPM_865.95|Angelique: Tenkuu no Requiem||アンジェリーク　天空の鎮魂歌
SLES_040.71|Animal Football||
SLES_040.36|Animal Snap: Rescue Them 2 by 2||
SLUS_007.84|Animaniacs: Ten Pin Alley||
SLPS_018.30|Animetic Story Game 1: Card Captor Sakura (Disc 1)||アニメチックストーリーゲーム１ カードキャプターさくら（ディスク１）
SLPS_018.31|Animetic Story Game 1: Card Captor Sakura (Disc 2)||アニメチックストーリーゲーム１ カードキャプターさくら（ディスク２）
SLUS_010.10|Animorphs: Shattered Reality||
SLPS_010.68|Ankh: Tutankhamen no Nazo (Disc 1)||ツタンカーメンの謎 アンク（ディスク１）
SLPS_010.69|Ankh: Tutankhamen no Nazo (Disc 2)||ツタンカーメンの謎 アンク（ディスク２）
SCES_018.33|Anna Kournikova's Smash Court Tennis||
SLPS_014.24|Annanjarin||あっナンジャリン
SLPS_015.22|Ano Ko Doko no Ko||あのこどこのこ
SLPS_014.31|Another Memories||アナザー・メモリーズ
SLPS_016.55|Another Mind||アナザー・マインド
SLES_025.63|Anstoss: Premier Manager||
SLPS_029.40|Ao no 6-gou: Antarctica (Disc 1)||青の６号　アンタクティカ（ディスク１）
SLPS_029.41|Ao no 6-gou: Antarctica (Disc 2)||青の６号　アンタクティカ（ディスク２）
SLPS_015.79|Aoki Ookami to Shiroki Mejika: Genchou Hishi||蒼き狼と白き牝鹿・元朝秘史
SLPS_035.64|Aozora to Nakama-tachi: Yume no Bouken Plus||アオ・ゾーラと仲間たち 夢の冒険プラス
SCES_015.64|Ape Escape|Sony Computer Entertainment|
SCES_020.28|Ape Escape|Sony Computer Entertainment|
SCES_020.29|Ape Escape|Sony Computer Entertainment|
SCES_020.30|Ape Escape|Sony Computer Entertainment|
SCUS_944.23|Ape Escape|Sony Computer Entertainment|
SCUS_944.70|Ape Escape|Sony Computer Entertainment|
SCED_021.33|Ape Escape (Demo)|Sony Computer Entertainment|
SCUS_944.89|Ape Escape (Demo)|Sony Computer Entertainment|
SCES_020.31|Ape Escape: La Invasión de los Monos|Sony Computer Entertainment|
SLES_004.60|Apocalypse||
SLES_008.34|Apocalypse||
SLES_008.35|Apocalypse||
SLES_014.63|Apocalypse||
SLPM_862.71|Apocalypse||アポカリプス
SLPM_868.79|Apocalypse||アポカリプス
SLUS_003.73|Apocalypse||
SLED_016.10|Apocalypse (Demo)||
SLES_033.90|Aqua GT||
SLPS_030.95|Aqua Paradise||アクアパラダイス
SLPS_000.60|Aquanaut no Kyuujitsu||アクアノートの休日
SLPM_804.49|Aquanaut no Kyuujitsu 2||アクアノートの休日２
SLPS_021.41|Aquanaut no Kyuujitsu 2||アクアノートの休日２
SLPS_029.19|Aquanaut no Kyuujitsu 2||アクアノートの休日２
SLPS_004.06|Aquanaut no Kyuujitsu: Memories of Summer 1996||アクアノートの休日　－ＭＥＭＯＲＩＥＳ　ＯＦ　ＳＵＭＭＥＲ　１９９６－
SLPS_020.23|Aquanaut no Kyuujitsu: Memories of Summer 1996||アクアノートの休日　－ＭＥＭＯＲＩＥＳ　ＯＦ　ＳＵＭＭＥＲ　１９９６－
SCES_002.41|Aquanaut's Holiday||
SCUS_946.03|Aquanaut's Holiday||
